ABRA,1,Bangued Branch,"Mega Centrum Building, Taft cor. Rizal Sts. Bangued, Abra"
-
AGUSAN DEL NORTE,1,Butuan Branch,"Onghoc Building, Montilla Blvd. cor. P. Burgoz St. Butuan City, Agusan del Norte"
AGUSAN DEL NORTE,2,Cabadbaran Branch,"Chang Building Atega cor. Asis Streets Cabadbaran, Agusan del Norte"
-
AGUSAN DEL SUR,1,Bayugan Branch,"Dy Building Brgy. Taglatawan, National Highway Bayugan City, Agusan del Sur"
AGUSAN DEL SUR,2,Bunawan Branch,"Purok 4, Brgy. San Teodoro, Bunawan, Agusan del Sur"
AGUSAN DEL SUR,3,San Francisco Branch,"San Francisco Public Market Mall Center Island Street San Francisco, Agusan del Sur"
-
AKLAN,1,Kalibo Branch,"La Esperanza Building, Osmeña Avenue, Kalibo, Aklan"
AKLAN,2,Caticlan Branch,"G/F CBTMPC Compound, Caticlan, Malay, Aklan"
-
ALBAY,1,Bacacay Branch Lite,"ABR Commercial Building, Fr. Bañez Street, Barangay 11, Bacacay, Albay 4509"
ALBAY,2,Daraga Branch,"Rizal St., Daraga Albay"
ALBAY,3,Legazpi Branch,"LANDBANK Bldg., Rizal St. Cabañgan, Legazpi City, Albay 4500"
ALBAY,4,Ligao Branch,"Ground Floor, LGU Commercial Building, Corner del Rosario and Washington Streets, Guilid, Ligao, Albay 4504"
ALBAY,5,Polangui Branch,"National Road, Cor. Clemente St., Centro Oriental, Polangui, Albay"
ALBAY,6,Tabaco Branch,"Ground Floor, AMEG Bldg., Ziga Ave. cor. Arellano St., Tayhi, Tabaco City, Albay"
-
ANTIQUE,1,Culasi Branch,"Silverio Cadiao St.,Centro Poblacion Culasi, Antique 5708"
ANTIQUE,2,Antique Branch,"San Jose Municipal Building Rep. A. Salazar cor. Tobias A. Fornier Sts. San Jose, Antique"
-
APAYAO,1,Luna Branch,"Ground Floor LGU-Luna Legislative Building, Poblacion, Luna, Apayao"
APAYAO,2,LANDBANK Easy Access Facility (LEAF) Sta. Marcela,"Municipal Building, San Carlos, Sta Marcela, Apayao"
-
AURORA,1,Baler Branch,"FNF Building, National Highway Barangay Suklayin, Baler, Aurora"
-
BASILAN,1,Basilan Branch,"LANDBANK Building, J.S. Alano corner I. Magno Streets, Isabela City, Basilan"
BASILAN,2,Lamitan Branch,"Quezon Blvd. corner Angela Street, Barangay Malinis, Lamitan, Basilan"
-
BATAAN,1,Balanga Branch,"Don Manuel Banzon Avenue Doña Francisca Subdivision Balanga City, Bataan"
BATAAN,2,Dinalupihan Branch,"LANDBANK Bldg., DAR Compound San Ramon Highway Dinalupihan, Bataan"
BATAAN,3,Bataan - National Highway Branch,"LANDBANK Building, Roman National Highway, Alangan, Limay, Bataan 2103"
BATAAN,4,Mariveles Branch,"Ground Floor, AFAB Building, Mariveles, Bataan"
-
BATANES,1,Basco Branch,"Ground Floor, Manpower Development Center and National Agencies Building, Provincial Capitol Compound, Barangay Kayhuvokan, Basco, Batanes"
-
BATANGAS,1,Balayan Branch,"Balayan Government Center, Barangay Caloocan, Balayan, Batangas"
BATANGAS,2,Batangas Kumintang Branch,"R & L Building, National Highway Kumintang Ilaya, Batangas City"
BATANGAS,3,Bauan (Batangas) Branch,"Plaza Consorcia, Manghinao Uno Bauan, Batangas"
BATANGAS,4,LANDBANK EASY Access Facility (LEAF) Cuenca,"Municipal Compoud, Poblacion 2, Cuenca, Batangas"
BATANGAS,5,Lemery Branch,"Ilustre Avenue, Poblacion Lemery, Batangas"
BATANGAS,6,Lipa Branch,"LANDBANK Bldg., JP Laurel H-way, Marauoy Lipa City, Batangas"
BATANGAS,7,Nasugbu Branch,"J. P. Laurel St. Barangay 9, Nasugbu, Batangas"
BATANGAS,8,Rosario (Batangas) Branch,"LANDBANK Bldg., Gualberto Avenue Brgy. D Rosario, Batangas"
BATANGAS,9,Sto. Tomas (Batangas) EO,"Ground Floor, The Lifestyle Strip Bldg. Mahalika Highway, Sto. Tomas, Batangas"
BATANGAS,10,Tanauan Branch,"LANDBANK Building, Pres. J. P. Laurel Highway Tanauan City, Batangas"
-
BENGUET,1,Baguio Branch,"Ground Floor, Curamed Building, No. 12, Marcos Highway, Baguio City"
BENGUET,2,Buguias Branch,"Mike-Ulo-An's Building, Abatan Buguias, Benguet"
BENGUET,3,La Trinidad Branch,"Benguet State University Compound Km5 La Trinidad, Benguet"
-
BILIRAN,1,Naval Branch,"Naval Commercial Bldg., Padre Inocentes Garcia cor. Abad Sts., Brgy. Sto Rosario Naval, Biliran"
-
BOHOL,1,Jagna (Bohol) Branch,"Poblacion, Jagna, Bohol"
BOHOL,2,Tagbilaan City Hall Branch,"J.A. clarin St., Dampas District, Tagbilaran City, Bohol"
BOHOL,3,Talibon Branch,"Ground Floor Talibon Public Mega Market Reclamation Area Poblacion Talibon, Bohol 6325"
BOHOL,4,Tubigon (Bohol) Branch,"B. Cabangbang Avenue, Barangay Potohan, Tubigon, Bohol 6329"
-
BUKIDNON,1,Don Carlos Branch,"LANDBANK Bldg., Sayre Highway Poblacion Sur Don Carlos, Bukidnon"
BUKIDNON,2,Malaybalay Highway Branch,"LANDBANK Building, Fortich Street, Brgy. 2, Malaybalay City"
BUKIDNON,3,Manolo Fortich Branch,"Sayre National Highway, Barangay Tankulan, Poblacion, Manolo Fortich Bukidnon"
BUKIDNON,4,Maramag Branch,"LANDBANK Building, South Poblacion Maramag, Bukidnon"
BUKIDNON,5,Quezon (Bukidnon) Branch,"Municipal Engineering Building, LGU Compound, Barangay Libertad, Quezon, Bukidnon"
BUKIDNON,6,San Fernando (Bukidnon) Agri-Hub,"Sitio Colon, Halapitan, San Fernando, Bukidnon 8711"
BUKIDNON,7,Valencia Branch,"JK Laviña Avenue cor. M. L. Quezon St., Poblacion, Valencia City, Bukidnon"
-
BULACAN,1,Balagtas Branch,"McArthur Highway, San Juan Balagtas, Bulacan"
BULACAN,2,Baliuag Branch,"LANDBANK Building,B.S. Aquino Avenue Baliuag, Bulacan"
BULACAN,3,Malolos Plaza Branch,"G/F Green Lites Bldg., Paseo del Congreso St., Brgy. San Agustin, Malolos City, Bulacan"
BULACAN,4,Meycauayan Branch,"Santos Hermanos Bldg. McArthur Highway, Banga Meycauayan, Bulacan"
BULACAN,5,Pulilan Branch,"Doña Remedios Trinidad Highway Cutcot, Pulilan, Bulacan"
BULACAN,6,San Jose del Monte Branch,"E & F Bldg., Gov. F. Halili Avenue,Tungkong Mangga,San Jose del Monte, Bulacan"
BULACAN,7,Sta. Maria Branch,"Formix Bldg., Fortunato Halili Ave. Bagbaguin Sta. Maria, Bulacan"
-
